Commentaire,star,long_com,mots_neg,trouve_int,trouve_exc,nb_pt,mot_maj,nb_maj,target
bonjour doit ans environ membre showrooprive jamais soucis particulier part petites bricoles contre depuis derniers mois vraie catastrophe commandes annulees affilies demander ventes bien reelles histoires payer showroom joue argent faisant interets bancaires dos ere commande machines cafes eur annule mois commande don call jennifer eur annule mois commande techwood eur annule mois apprends toujours mail message bateau malgre tous efforts bla bla bla bien evidemment dedommagement ben non hein pourquoi doute site aussi fiable serieux debut final vais juste rester fidele autre site marchand decevant confiance recommande site fais part entourage reseaux sociaux afin eviter autres personnes connaissent type experience ,1,1182,9,21,2,23,0,18,0
vente lacoste article manquant photo prise articles moitie livree sans explication manque respect numero commande ,1,138,2,0,0,0,0,2,0
vente lacoste honteuse article errone article manquant bon livraison retard service client desastreux deux appels desastreux tenais avertir courageux oseront commander contacter service client showroom pire pire attentions oreilles interlocuteur parle environnement bruyant type chantier coup marteaux jet materiaux proximite micro demandez cesser nuisance repond non entendent bien erreur commande interlocuteur crois faut envoyer captures ecran commande convaincre font bien importe quoi commande arrive plusieurs vente retard article manquant bon livraison comprendre quoi sait impossible obtenir suivi livraison details articles manquants article annule showroom stock toujours propose vente commande ndeg commande beaucoup coup inadmissible fuyez ,1,1191,10,1,0,1,0,15,0
commande mules marque moosefield decue produit etiquette collee mules tache produit moyen ,2,148,0,2,0,2,0,3,0
commande telephone etat livraison vieux telephone pourri sans batterie raye partout inaudible super affaire euros poubelle merci showroomprivee passez chemin nuls controlent proposent vente ,1,272,1,6,0,6,1,9,0
commande passee vente lacoste livraison date prevue deja semaines achat produits manquants pro serieux aucun geste commercial hormis remboursement promis articles manquants ,1,249,3,0,0,0,0,3,0
annulation commande mois attente geste sans explication retard livraison report reprise resultat incomprehensible inadmissible recommande site mieux vaut aller vente privee attend commande ,1,276,3,0,0,0,0,2,0
extremement decue vente apple achat iphone reconditionne grade fournisseur prs phone recycle fonctionne jours sav lamentable jusqu jours repondre question prise charge frais retour reparation sav showroom lit mails diagonale repond cote lamentable telephone encore recupere dernier achat ,1,421,0,8,0,8,3,17,0
extremement decu achats lors vente dolores promesas recu vetements sales deja utilisees ,1,115,1,1,0,1,0,4,0
option mettre etoile etoile trop contente passe commande mi avril mi juin toujours recu part reponde commande articles jennyfer via site marque colis expedie via mondial relay depuis numero suivi ,1,399,1,4,0,4,0,5,0
